DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints
sainz,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,British Grand Prix,,,,
stroll,31.0,0.0,0,0.0,31.0,6.0,20.0,5.0,British Grand Prix,,,,
tsunoda,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,British Grand Prix,,,,
albon,18.0,5.0,0,5.0,13.0,8.0,0.0,5.0,Belgian Grand Prix,0.0,0.0,0.0,0.0
alonso,6.0,0.0,0,0.0,6.0,0.0,6.0,0.0,Belgian Grand Prix,0.0,0.0,0.0,0.0
antonelli,8.0,0.0,0,0.0,6.0,0.0,6.0,0.0,Belgian Grand Prix,2.0,0.0,2.0,0.0
bearman,9.0,0.0,0,0.0,7.0,0.0,2.0,5.0,Belgian Grand Prix,2.0,2.0,0.0,0.0
bortoleto,20.0,5.0,0,5.0,9.0,2.0,2.0,5.0,Belgian Grand Prix,6.0,0.0,1.0,5.0
colapinto,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Belgian Grand Prix,6.0,0.0,1.0,5.0
gasly,17.0,5.0,0,5.0,12.0,1.0,6.0,5.0,Belgian Grand Prix,0.0,0.0,0.0,0.0
hadjar,12.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Belgian Grand Prix,7.0,1.0,1.0,5.0
hamilton,31.0,0.0,0,0.0,28.0,6.0,22.0,0.0,Belgian Grand Prix,3.0,0.0,3.0,0.0
hulkenberg,4.0,0.0,0,0.0,4.0,0.0,4.0,0.0,Belgian Grand Prix,0.0,0.0,0.0,0.0
lawson,12.0,0.0,0,0.0,11.0,4.0,2.0,5.0,Belgian Grand Prix,1.0,0.0,1.0,0.0
leclerc,35.0,5.0,0,5.0,20.0,15.0,0.0,5.0,Belgian Grand Prix,10.0,5.0,0.0,5.0
max_verstappen,36.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Belgian Grand Prix,14.0,8.0,1.0,5.0
norris,39.0,15.0,10,5.0,18.0,18.0,0.0,0.0,Belgian Grand Prix,6.0,6.0,0.0,0.0
